About,Experience,Education,Skills
,,,
Inventor and entrepreneur.,"Executive Chairman & Founder, Biosplice Therapeutics · Full-time, Mar 2021 - Present · 1 yr 5 mos, San Diego, California, United States, Biosplice Therapeutics is developing first-in-class, small-molecule therapeutics based on pioneering science of alternative pre-mRNA splicing. Stemming from foundational discoveries in Wnt pathway modulation, Biosplice has elucidated novel biology linking CLK/DYRK kinases to the therapeutic regulation of alternative splicing. Alternative splicing is an essential biological mechanism that regulates the diversification of proteins in a cell, which, in turn, determines cell type and function. Biosplice’s target class governs the selection of tissue-specific mRNA splice sites, making them attractive, druggable targets within the cellular “command and control” center. Biosplice’s drugs in clinical development include lorecivivint for osteoarthritis (in Phase 3), cirtuvivint for numerous cancers, and a broad pipeline that ranges from Alzheimer’s disease to other degenerative conditions. Learn more at https://www.biosplice.com, Biosplice Therapeutics is developing first-in-class, small-molecule therapeutics based on pioneering science of alternative pre-mRNA splicing. Stemming from foundational discoveries in Wnt pathway modulation, Biosplice has elucidated novel biology linking CLK/DYRK kinases to the therapeutic regulation of alternative splicing. Alternative splicing is an essential biological mechanism that regulates the diversification of proteins in a cell, which, in turn, determines cell type and function. Biosplice’s target class governs the selection of tissue-specific mRNA splice sites, making them attractive, druggable targets within the cellular “command and control” center. Biosplice’s drugs in clinical development include lorecivivint for osteoarthritis (in Phase 3), cirtuvivint for numerous cancers, and a broad pipeline that ranges from Alzheimer’s disease to other degenerative conditions. Learn more at https://www.biosplice.com, Biosplice Therapeutics is developing first-in-class, small-molecule therapeutics based on pioneering science of alternative pre-mRNA splicing. Stemming from foundational discoveries in Wnt pathway modulation, Biosplice has elucidated novel biology linking CLK/DYRK kinases to the therapeutic regulation of alternative splicing. Alternative splicing is an essential biological mechanism that regulates the diversification of proteins in a cell, which, in turn, determines cell type and function. Biosplice’s target class governs the selection of tissue-specific mRNA splice sites, making them attractive, druggable targets within the cellular “command and control” center. Biosplice’s drugs in clinical development include lorecivivint for osteoarthritis (in Phase 3), cirtuvivint for numerous cancers, and a broad pipeline that ranges from Alzheimer’s disease to other degenerative conditions. Learn more at https://www.biosplice.com, CEO & Founder, Samumed, Jan 2008 - Present · 14 yrs 7 mos, Drug discovery and development of small molecule Wnt pathway modulators, for oncology, regenerative medicine and degenerative diseases., Drug discovery and development of small molecule Wnt pathway modulators, for oncology, regenerative medicine and degenerative diseases., Drug discovery and development of small molecule Wnt pathway modulators, for oncology, regenerative medicine and degenerative diseases., CEO & Founder, Dynamic Connections, Jan 2003 - Present · 19 yrs 7 mos, Innovation and commercialization of interdisciplinary technologies., Innovation and commercialization of interdisciplinary technologies., Innovation and commercialization of interdisciplinary technologies., Pequot Capital logo, VP, Infrastructure, Pequot Capital, Aug 2001 - Dec 2002 · 1 yr 5 mos, Venture Capital / Private Equity, Venture Capital / Private Equity, Venture Capital / Private Equity, Scientific Founder, Genoptix, Mar 2001 - Sep 2001 · 7 mos, Oncology diagnostics, went public in 2007 (GXDX), acquired by Novartis in 2011., Oncology diagnostics, went public in 2007 (GXDX), acquired by Novartis in 2011., Oncology diagnostics, went public in 2007 (GXDX), acquired by Novartis in 2011., Co-Founder, E-tenna Corp., Jan 2001 - May 2001 · 5 mos, Antenna-related assets acquired by Titan; microprocessor-related assets acquired by Intel., Antenna-related assets acquired by Titan; microprocessor-related assets acquired by Intel., Antenna-related assets acquired by Titan; microprocessor-related assets acquired by Intel.","UC San Diego, PhD, MS, Opto-electronics & Bio-photonics, 1993 - 1999, NULL, Caltech, B.S., Electrical Engineering, 1991 - 1993, NULL, Pomona College, B.A., Mathematical Economics, 1988 - 1991, NULL, Robert College, High School, NULL","Venture Capital, Commercialization, Patents, Business Strategy, Entrepreneurship, New Business Development, Business Development, Drug Discovery, Private Equity, Start-ups, Strategy, Strategic Planning, Mergers & Acquisitions, Oncology, Business Planning, Management, Corporate Development"
,,,
,"MD, NYU Hospital for Joint Diseases, Chief Medical Officer, Samumed, LLC, 2013 - Present · 9 yrs 7 mos",,
,,,
"Biosplice Therapeutics (formerly Samumed LLC) is developing first-in-class, small-molecule therapeutics based on pioneering science of alternative pre-mRNA splicing.  Stemming from foundational discoveries in Wnt pathway modulation, Biosplice has elucidated novel biology linking CLK/DYRK kinases to the therapeutic regulation of alternative splicing.  Alternative splicing is an essential biological mechanism that regulates the diversification of proteins in a cell, which, in turn, determines cell type and function.  Biosplice’s target class governs the selection of tissue-specific mRNA splice sites, making them attractive, druggable targets within the cellular “command and control” center.

Biosplice’s drugs in clinical development include lorecivivint for osteoarthritis (in Phase 3), cirtuvivint for numerous cancers, and a broad pipeline that ranges from Alzheimer’s disease to other degenerative conditions.  Learn more at https://www.biosplice.com","Chief Medical Officer, Oncology, Biosplice Therapeutics · Full-time, Nov 2020 - Present · 1 yr 9 mos, San Diego, California, United States, Senior Vice President, Pfizer, Feb 2017 - Nov 2020 · 3 yrs 10 mos, Greater San Diego Area, Pharmacyclics, 4 yrs 5 mos, Head of Early Development and Immunotherapy, Dec 2014 - Feb 2017 · 2 yrs 3 mos, Sunnyvale, CA, Therapeutic Area Head, Vice President of Clinical Medicine and Early Development, Oct 2012 - Dec 2014 · 2 yrs 3 mos, Head of Early Development and Immunotherapy, Dec 2014 - Feb 2017 · 2 yrs 3 mos, Sunnyvale, CA, Therapeutic Area Head, Therapeutic Area Head, Therapeutic Area Head, Vice President of Clinical Medicine and Early Development, Oct 2012 - Dec 2014 · 2 yrs 3 mos, Director, Amgen, Oct 2006 - Oct 2012 · 6 yrs 1 mo","The University of Texas Health Science Center at Houston (UTHealth Houston), MD PhD, Medicine and Cancer Biology, 1990 - 1997, University of Lowell, Lowell, MA, BS MS, Biology/Biotechnology, 1984 - 1990","Oncology, Clinical Development, Drug Development, Biotechnology, Clinical Trials, Biopharmaceuticals, Clinical Research, Drug Discovery, Life Sciences, Lifesciences, Medicine, Biomarkers, Cancer, Hematology, CTMS, FDA, GCP, Immunology, Medical Affairs, Molecular Biology, Regulatory Submissions, Biochemistry, IND, Pharmacology, Medical Writing, Infectious Diseases, Pharmacovigilance, Market Access, GLP, Regulatory Affairs, Pharmaceutical Industry, CRO"
,,,
,"Chief Financial Officer and Chief Business Officer, Biosplice Therapeutics, Apr 2015 - Present · 7 yrs 4 mos, Greater San Diego Area, Biosplice Therapeutics is developing first-in-class, small-molecule therapeutics based on pioneering science of alternative pre-mRNA splicing. Stemming from foundational discoveries in Wnt pathway modulation, Biosplice has elucidated novel biology linking CLK/DYRK kinases to the therapeutic regulation of alternative splicing. Alternative splicing is an essential biological mechanism that regulates the diversification of proteins in a cell, which, in turn, determines cell type and function. Biosplice’s target class governs the selection of tissue-specific mRNA splice sites, making them attractive, druggable targets within the cellular “command and control” center. Biosplice’s drugs in clinical development include lorecivivint for osteoarthritis (in Phase 3), cirtuvivint for numerous cancers, and a broad pipeline that ranges from Alzheimer’s disease to other degenerative conditions. Learn more at https://www.biosplice.com , Biosplice Therapeutics is developing first-in-class, small-molecule therapeutics based on pioneering science of alternative pre-mRNA splicing. Stemming from foundational discoveries in Wnt pathway modulation, Biosplice has elucidated novel biology linking CLK/DYRK kinases to the therapeutic regulation of alternative splicing. Alternative splicing is an essential biological mechanism that regulates the diversification of proteins in a cell, which, in turn, determines cell type and function. Biosplice’s target class governs the selection of tissue-specific mRNA splice sites, making them attractive, druggable targets within the cellular “command and control” center. Biosplice’s drugs in clinical development include lorecivivint for osteoarthritis (in Phase 3), cirtuvivint for numerous cancers, and a broad pipeline that ranges from Alzheimer’s disease to other degenerative conditions. Learn more at https://www.biosplice.com , Biosplice Therapeutics is developing first-in-class, small-molecule therapeutics based on pioneering science of alternative pre-mRNA splicing. Stemming from foundational discoveries in Wnt pathway modulation, Biosplice has elucidated novel biology linking CLK/DYRK kinases to the therapeutic regulation of alternative splicing. Alternative splicing is an essential biological mechanism that regulates the diversification of proteins in a cell, which, in turn, determines cell type and function. Biosplice’s target class governs the selection of tissue-specific mRNA splice sites, making them attractive, druggable targets within the cellular “command and control” center. Biosplice’s drugs in clinical development include lorecivivint for osteoarthritis (in Phase 3), cirtuvivint for numerous cancers, and a broad pipeline that ranges from Alzheimer’s disease to other degenerative conditions. Learn more at https://www.biosplice.com , Partner, Intervale Capital, Jun 2006 - May 2015 · 9 yrs, Cambridge, MA, Private equity fund focused on oilfield services investments., Intervale Capital, Intervale focuses exclusively in oilfield companies. Our small portfolio enables us to concentrate capital and resources on every deal., Private equity fund focused on oilfield services investments., Private equity fund focused on oilfield services investments., Intervale Capital, Intervale focuses exclusively in oilfield companies. Our small portfolio enables us to concentrate capital and resources on every deal., Intervale Capital, Intervale focuses exclusively in oilfield companies. Our small portfolio enables us to concentrate capital and resources on every deal., Principal, Watermill Ventures, Dec 1998 - Jan 2004 · 5 yrs 2 mos, Greater Boston Area, Private equity firm investing in multiple sectors with a focus on value investing., Watermill Group, Private Equity group in Lexington, MA., Private equity firm investing in multiple sectors with a focus on value investing., Private equity firm investing in multiple sectors with a focus on value investing., Watermill Group, Private Equity group in Lexington, MA., Watermill Group, Private Equity group in Lexington, MA., Financial Analyst, Morgan Stanley, Jul 1994 - Sep 1996 · 2 yrs 3 mos, New York; Frankfurt","Harvard Business School, Master of Business Administration (MBA), 2001 - 2002, Harvard College, Bachelor of Arts (B.A.), 1992 - 1994",
,,,
,"Biosplice Therapeutics, 2 yrs 5 mos, Chief Legal Officer, May 2021 - Present · 1 yr 3 mos, Vice President, Administrative Operations & Assistant General Counsel, Mar 2020 - May 2021 · 1 yr 3 mos, Chief Legal Officer, May 2021 - Present · 1 yr 3 mos, Vice President, Administrative Operations & Assistant General Counsel, Mar 2020 - May 2021 · 1 yr 3 mos, Samumed, LLC, 6 yrs 8 mos, Executive Director, Administrative Operations & Assistant General Counsel, Feb 2019 - Mar 2020 · 1 yr 2 mos, Greater San Diego Area, Sr. Director, Administrative Operations & Assistant General Counsel, Aug 2013 - Feb 2019 · 5 yrs 7 mos, San Diego, California, Executive Director, Administrative Operations & Assistant General Counsel, Feb 2019 - Mar 2020 · 1 yr 2 mos, Greater San Diego Area, Sr. Director, Administrative Operations & Assistant General Counsel, Aug 2013 - Feb 2019 · 5 yrs 7 mos, San Diego, California, Associate, Schindler Cohen & Hochman LLP, Jan 2009 - Aug 2013 · 4 yrs 8 mos, Associate, Simpson Thacher & Bartlett LLP, Oct 2004 - Jan 2009 · 4 yrs 4 mos, Judicial Clerk, Hon. Barbara M.G. Lynn, U.S. District Court, Northen District of Texas, Aug 2003 - Aug 2004 · 1 yr 1 mo","New York University School of Law, Doctor of Law (J.D.), University of Virginia, Bachelor of Arts (B.A.), English Language and Literature/Letters, McLean High School","Securities Litigation, Commercial Litigation, Business Litigation"
